,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sterling,40,US,1561647510,48,39.0,-77.4,90.0,3.18
1,Berlevag,75,NO,1561647511,57,70.86,29.09,50.0,20.8
2,Sao Joao dos Patos,4,BR,1561647511,49,-6.5,-43.7,85.99,10.27
3,Sanda,75,JP,1561647511,94,34.89,135.23,75.2,4.7
4,Saldanha,74,PT,1561647512,39,41.42,-6.55,84.55,10.04
5,Oxapampa,0,PE,1561647512,59,-10.58,-75.4,64.75,3.71
6,Auki,0,NG,1561647512,36,12.18,6.51,92.65,2.1
7,Sao Joao da Barra,0,BR,1561647512,48,-21.64,-41.05,86.0,9.17
8,Bowen,90,AU,1561647513,88,-20.01,148.25,70.0,19.46
9,Zalantun,100,CN,1561647513,88,48.0,122.72,54.31,8.25
10,Carnarvon,0,ZA,1561647246,14,-30.97,22.13,62.95,24.25
11,Ankazoabo,12,MG,1561647513,54,-22.29,44.51,70.69,5.48
12,Petatlan,40,MX,1561647514,78,17.52,-101.27,80.6,1.83
13,Havoysund,75,NO,1561647514,86,71.0,24.66,44.6,20.8
14,Paamiut,97,GL,1561647514,93,61.99,-49.67,39.55,4.99
15,Adrar,0,DZ,1561647514,4,27.87,-0.29,114.8,8.05
16,Saint George,20,GR,1561647515,31,39.45,22.34,93.2,12.75
17,Iskateley,84,RU,1561647515,62,67.68,53.15,59.53,2.82
18,Basco,1,US,1561647515,78,40.33,-91.2,82.0,4.7
19,Koulikoro,75,ML,1561647249,94,12.86,-7.56,69.8,18.34
20,Quixeramobim,82,BR,1561647516,52,-5.2,-39.3,85.45,9.93
21,Tiszanana,40,HU,1561647516,49,47.57,20.53,93.99,13.87
22,Kayes,0,ML,1561647516,19,14.44,-11.44,107.95,10.47
23,Susehri,96,TR,1561647516,94,40.16,38.09,58.63,6.76
24,Moree,0,AU,1561647517,58,-29.46,149.84,57.2,13.87
25,Yeppoon,22,AU,1561647517,72,-23.13,150.74,64.4,9.17
26,Brazzaville,0,CD,1561647517,54,-4.27,15.27,84.2,8.05
27,Sevierville,1,US,1561647464,69,35.87,-83.56,84.0,4.7
28,Carutapera,57,BR,1561647518,70,-1.2,-46.02,85.27,8.55
29,Atar,0,MR,1561647518,8,20.52,-13.05,111.73,14.12
30,Sosva,96,RU,1561647518,59,59.17,61.86,60.79,3.2
31,Malinovka,0,RU,1561647518,76,53.4,87.28,63.85,3.98
32,Homer,1,US,1561647518,93,59.64,-151.54,61.0,7.72
33,Havre-Saint-Pierre,90,CA,1561647519,100,50.23,-63.6,53.6,12.75
34,Port-Cartier,75,CA,1561647519,82,50.03,-66.88,59.0,14.99
35,Jurmala,90,LV,1561647519,72,56.97,23.77,62.6,18.34
36,Sao Filipe,0,CV,1561647520,82,14.9,-24.5,75.01,26.22
37,Mogadishu,20,SO,1561647520,65,2.04,45.34,82.4,14.99
